,datePublished,review_title,text_content,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
550,4th March 2023,I was very disappointed,Trip Verified ,  I was very disappointed that none of the screens on inbound and outbound flights were working ! I have difficulty sleeping on a flight so to pass 8 to 9 hours without in-flight entertainment is next to impossible. The food is not that nice either.,Boeing 787-8,Couple Leisure,Economy Class,London to Ahmedabad via Mumbai,Mar-23,2,2,2,NA,2,NA,1,no
551,3rd March 2023,Service gone so down,Trip Verified ,"  I was flying with my friends, flight was packed. None of seat screen was working, no one listening to say sorry about this. When food was serving, staff were asking all what would you like have Veg or Non veg? As all says Veg food and end of the seats 10 people didn’t get any food as they were all vegetarian and vegetarian food not available as they given to all. It supposed to person who has book vegetarian food should have first priority not the last. In return on 1 March, same issue. Even when they serve the food, tea cup was dirty.  Service gone so down - very poor when they charge a lot. Not worth money to spend on Air India.",Boeing 787-8,Family Leisure,Economy Class,Birmingham to Amritsar,Mar-23,2,1,1,1,1,1,1,no
552,3rd March 2023,Food was below average quality,Trip Verified ,"  Flight out on time Good service. Seat OK. Screen not working. Food reasonable. Return flight changed 1 day before (text and phonecall) Actually to a better time but on the day 50min delay at least 30min of which was standing in a corridor. Seat was creaky and uncomfortable. Food was below average quality. Service was polite and efficient. Overall I would only go Air India if the price was good which to be fair it was, but I would probably pay a bit more for a better experience if available.",Boeing 787,Solo Leisure,Economy Class,London to Goa,Mar-23,2,4,3,1,3,NA,3,yes
553,2nd March 2023,Not a good value for money,Trip Verified ,"  My seats were changed as it was termed ""unserviceable"" on both sectors (New York to Delhi on Jan 27 2023 and Delhi to New York on March 1 2023) - the explanation given was shallow. The fleet is old, seats are shaky and the cushions are dirty. The restroom was smelly and not cleaned regularly, headphone given was not working (just one side worked). It is my first experience traveling Air India Business class on a long haul flight and the experience is not worth remembering. Not a good value for money considering the tickets are so expensive.",NA,Solo Leisure,Business Class,Bangalore to Delhi,Mar-23,1,3,2,2,2,NA,1,no
554,2nd March 2023,did not answer any call button,Not Verified ,"  The inflight entertainment was broken. The crew don't provide water or beverages and did not answer any call button. Food was ok, but served only 2 times in a 16 hour flight with no snacks, water in between. I later saw the staff had kept one water bottle in the back of plane for anyone to drink from. The staff also needs to get better in respecting customers and being professional. Long haul flights are hard on older passengers and families, a friendly face and demeanor makes all the difference! Ground service made us wait in a long queue (SFO) -- don't know why they were so slow in clearing! I clicked recommend Air India as I am keeping my fingers crossed and hope this Airline gets it right in future.",NA,Family Leisure,Economy Class,Chennai to San Francisco,Aug-22,2,1,2,1,1,1,2,yes
555,2nd March 2023,beyond a horrible experience,Trip Verified ,"  I travelled on Feb 15th from Newark to Mumbai AI144. Traveling along with me was my 15 yr. son. To say the plane was old and should be retired is an understatement. Let me start with. TVs did not work. Reading lights did not work. The call buttons did not work. The tray tables were broken.  Bathroom sinks were taped to hold it all together. I saw the crew members in total 5 times – take off, landing and when they served the 3 meals. No once came to check when there was turbulence or was there anyone present in the alleys. I can keep going but I am going to stop. I get it that Air India is trying to rebuild but this was beyond a horrible experience. A 14-hour flight with zero amenities, I call that torture. I do want to let you know that I did cancel my return flight to Newark and booked on another airline, and I was so thankful to be served water on multiple occasions on that flight. I was not looking for the fancies, but basic amenities would have been appreciated for the amount of money I paid.",NA,Family Leisure,Economy Class,Newark to Delhi via Mumbai,Mar-23,1,1,1,1,1,1,1,no
556,1st March 2023,service was quite nice,Trip Verified ," After the last 2 experiences of travelling aboard an Air India flight, I was cautious about flying this sector as I did not want any unforeseen surprises. The fare was reasonable for this one-way flight. However during check-in I was surprised to see that Air India has started charging for seat selection. This was never the case before as before it got privatized, we were able to select any seat of our choice without having to pay an additional fee for the same. And as Air India is a full service carrier ideally one should not be having to pay extra for this. The baggage drop at the airport was pleasant and done with no problems. The boarding started on time and the crew was also welcoming on board. However one thing I did not like was the fact that we had to wait in the bus for almost 15 minutes before the staff allowed us to board the flight as they wanted the previous batch of passengers to settle down before allowing us on board. Also as this was an evening flight, the crew provided snack options of both veg and non veg which was much appreciated with steel cutlery which is definitely an upgrade as previously the airline used to offer only vegetarian fares onboard domestic flights. Also for the veg option pav bhaji with a potato salad was offered and for the non veg option there was chicken tikka with pasta and salad along with tea / coffee. The food was quite good except for the pasta which was more on the sticky side. The flight landed on time and the crew was quite nice and overall the inflight service was quite nice. Air India has made great strides especially when it comes to the punctuality of their flights and streamlining and improving frequencies and also bringing back non veg onboard flights, however there are still certain aspects especially on the ground and the charging of the seats that can and should be improved.",A319,Solo Leisure,Economy Class,Kolkata to Mumbai,Mar-23,5,5,4,NA,3,NA,4,yes
557,1st March 2023,Very pathetic service,Trip Verified ,"  Very pathetic service, second time  9pm flight delayed, we're still at Mumbai Airport and clueless on what is happening. No water no food. Air India At its lowest. Same experience on 15th Feb morning 5am flight.",NA,Business,Economy Class,Mumbai to Goa,Mar-23,1,1,NA,NA,1,NA,1,no
558,1st March 2023,never flying Air India again,Trip Verified ,"  Flight was delayed 8 hours in total, and staff were clueless when it comes to basic communication, informing passengers about flight details and helping people reschedule. Was a total joke and never flying Air India again.",NA,Solo Leisure,Economy Class,Mumbai Parun to New York,Feb-23,2,2,2,1,1,1,1,no
559,25th February 2023,Cabin crew were extremely rude.,Trip Verified ,"  We had an extremely bad experience with Air India international travel! Cabin crew were extremely rude. They literally barked at us to remove our baby from the bassinet. We wanted to be a good samaritan and collected and bagged all the trash we generated and left the bag in front of the seat for them to clear. The air hostess serving our aisle came and shouted at us to go and keep the trash bag at the back of the plane. She was extremely rude and borderline misbehaved with us. Seats were dirty, no blankets were provided and they rarely offered water. Food was also not sufficient and there was a stretch of 6 hrs where no food was provided ( this happened in the flight both ways). Finally our luggage was misplaced and was returned after 3-4 days. The tickets are in the same price range as other airlines and such poor service is totally unexpected! Don’t have the option to give zero star hence had to give 1.",NA,Family Leisure,Economy Class,San Francisco to Delhi,Nov-22,1,1,1,1,2,1,1,no
560,24th February 2023,unexpected and unhappy experience,Not Verified ,"  Recently travelled with my 2 months baby and old-age mom and had very unexpected and unhappy experience with the flight attendant. Because I was having my 2 months old baby and my mother's height was not enough to reach the baggage area, I asked the flight attendant to help with my cabin bag to put in the above storage. She straight away rejected my request very rudely. Other passengers were observing the situation and offered me a help. The flight attendant knew that my mom's height was not tall enough to reach the above baggage area but she still rudely said to her, ""don't just stare, you have to put your bags by your own"". If you are not there to help the passengers then what you are there for? If we were able to put the bags by ourselves we would have never asked them for help. Forget about humanity, at least they should do their own duty with some basic honesty. I hope no one will have such a bad experience that we had! Have a safe and happy travel.",NA,Family Leisure,Economy Class,London to Mumbai,Jan-23,4,1,3,3,4,NA,3,no
561,24th February 2023, A big no for Air India,Not Verified ,"  First time travelled with Air India. The entertainment system did not work for 14 hr flight. When asked was not answered properly. The food tray was dirty. Surprisingly i was ignored twice while serving food, and had to ask again and again. They only serve you 210 ml water glass twice in the flight. No water bottles. The seat was broken and the whole flight i was uncomfortable. There was no soap in the washroom. I paid extra for aisle seat and got a broken chair to sit on for 14 hrs. A big no for Air India",NA,Family Leisure,Economy Class,Toronto to New Delhi,Feb-23,1,1,2,1,1,NA,1,no
562,24th February 2023,Long delays are just norm,Not Verified ," The worst airline I have traveled with so far! Long delays are just norm for this airline. Very old planes, broken entertainment system. Least help from ground crew. Super unorganized check-in process",Boeing 777-300,Family Leisure,Economy Class,Newark to Delhi,Feb-23,1,4,2,1,1,NA,1,no
563,24th February 2023,Horrible experience,Trip Verified ,"  Had a confirmed business class seat in Air india from Delhi to NY , but when I reached the counter they had cancelled my booking since I had not checked in online. After much argument they tried putting me on a next day flight to Chicago, with in hotel to stay nor any transport. Said no to that and then finally the manager said she would get me on a seat the next day, while looking into that she said one seat had become vacant since a passenger had dropped out, finally after 2.5 hrs, got a boarding pass, only to find that the flight had 7 empty seats. On the flight after a small snack, no food was served for the next thirteen hours, since I was hungry asked for a sandwich. The movies were pathetic, the sound was horrible and the toilets were deplorable. Never again am I flying Air India. Horrible experience.",NA,Business,Business Class,Delhi to New York,Feb-23,2,3,3,1,2,NA,1,no
564,22nd February 2023,do avoid at all costs,Trip Verified ," Now I understand why this flight cost was so much cheaper than any other airline flying to Australia. First flight from Tel Aviv to Delhi was completely doable, no complaints there. The 12-hour flight however to Melbourne. Where do I start? I especially asked the check-in personnel that I wanted an aisle seat and confirmed with him twice, well you guessed right: I was stuck between two people for 12 hours in the most uncomfortable seat ever that would've required me to get up and stretch just about every hour. Disgusting, not maintained aircraft. Filthy and uncomfortable in every sense of the word - ok this is not Air India's fault, but I was amongst 4 screaming toddlers the whole way. Lovely! More of that please! Said no one ever. Food was disgusting. Options: Veg or non-veg? Could you please specify? You know what, I rather don't want to hear. Crew looked overworked and annoyed with everyone - I left the best one last: the in-flight entertainment didn't work for like half the aircraft, including me if me course. They ""tried"" restarting the whole system but it didn't work. Also, the reading lights didn't work. Just sit in the dark, bored out of your face for 12 hours, you're welcome dear passenger. This is surely not tailored for a Western traveller, do avoid at all costs and pay the extra 500 dollars, it's worth it.",Boeing 787-8,Solo Leisure,Economy Class,Tel Aviv to Melbourne via Delhi,Feb-23,1,1,1,1,1,NA,1,no
565,22nd February 2023,Disrespectful and rude cabin crew,Trip Verified ,"  Disrespectful and rude cabin crew and that too in an international flight. They never respond to service call buttons. After not getting a response for an hour after pressing the call button, I asked a flight attendant passing by about my query. She instead charged me by saying  ""Mam why are you pressing the call button so many times, it is so annoying"" in a very rude tone, when I was not even the one who pressed it. Many passengers had pressed the call button and they didn't respond to anyone. Instead they were irritated on asking questions and acted like they were doing a favour by answering..",NA,Solo Leisure,Economy Class,Paris to Delhi,Feb-23,3,1,3,2,3,1,3,no
566,22nd February 2023,entertainment system not working,Trip Verified ,"  I am a frequent flyer member of Air India. The login and password never works to check your point you have got while travelling and no support if you call them. On 20/02/2023, I did online checking to fly from Sydney to Delhi so we have just baggage drop process only. To my surprise I had to wait for longer time than people who did not do check on line as there were more counter for people who did not do the on line so it was a big failure on part of Air India. I was given a seat on 37 J , Again to my surprise that row have no window to look outside and I found out the entertainment system in my seat was not working.",Boeing 787,Family Leisure,Economy Class,Sydney to Delhi,Feb-23,2,2,1,1,1,1,1,no
567,21st February 2023,Seats were very uncomfortable,Trip Verified ,"  Very cheap seats and old, it’s like sitting on a metal seat more than anything. The tv’s don’t work.  The food was terrible and breakfast was horrendous. However, you do have a staff that try their best even if the company itself isn’t doing anything about these issues. Seats were very uncomfortable. Never travelling again with Air India.",NA,Family Leisure,Economy Class,London Heathrow to Delhi,Feb-23,1,5,1,1,5,1,1,no
568,18th February 2023,Very uncooperative airline,Not Verified ,"  Very uncooperative airline, not helpful, delayed 6 hours from Delhi to Mumbai. Then I missed my second flight. I'm begging these guys to reimburse my ticket but no one helped me. Not even single employee helped me. No one even worked on my complaint",NA,Solo Leisure,Economy Class,Delhi to Calgary via Mumbai,Feb-23,1,1,1,1,1,1,1,no
569,18th February 2023,such a bad flight and experience,Trip Verified ,"  Worst flight, no aircon working, no staff service. I press so many time to call button for water or any service but no one come. My first and last experience with Air India, such a bad flight and experience.",NA,Solo Leisure,Economy Class,Bangkok to Mumbai,Feb-23,1,1,2,1,1,1,1,no
570,18th February 2023,So disappointing,Not Verified ,"  I’m very disappointed with the service Of Air India which was very poor. I asked air hostess multiple times to get me a water but after 2 hours i got very upset and told air hostess that i paid 3000$ per ticket and you guys are not even listening to our requests. After two hours i got water. So disappointing. Apart from service, the screens are not working and the food quality is not good enough.",NA,Couple Leisure,Economy Class,Delhi to Toronto,Feb-23,4,1,2,1,2,1,2,no
571,17th February 2023,don't care about people,Trip Verified ,"  Delay on top of delay, with no clear cut information given on when the flight will take off. Its already been delayed by 5 hours from Mumbai to Delhi and the ground staff still has no idea when it will finally take off. Air India have a fleet of aircraft but don't care about people and think its ok to have no accountability and behave callously.",NA,Solo Leisure,Economy Class,Mumbai to Delhi,Feb-23,2,NA,NA,NA,1,NA,1,no
572,17th February 2023,non-customer friendly company,Trip Verified ," We have so much love and respect Tata and hence chose this air-line. They cancel international flights (AI144 from EWR to BLR for Feb 17th, 2023) with less than 21 hours in-advance of the scheduled departure. This has turned my world and plans upside down. Who is going to take accountability for our loss? Why penalize people that trusted your company? The customer service people are useless and not able to get a manager even after calling so many times; Their turn-around time is supposed to be 1 to 4 hours and still no call even after 6+ hours. Why no punishment for not-following process and procedure? Why make civilians cry for selecting this air-line? Why not take responsibility to make alternate arrangements for cancelled flights based on needs? Air-India is a disorganized, and a non-customer friendly company. I do not recommend this airline to anyone for contingent travel needs.",NA,Family Leisure,Economy Class,Newark to Bangalore via Mumbai,Apr-22,1,1,3,2,1,2,2,no
573,16th February 2023,a worst experience with check-in,Trip Verified ,"  I had connecting flight with Air India from Delhi to Kathmandu. I had a worst experience with check-in officers, they didn’t give us boarding pass showing unnecessary reasons about baggage that we had checked in at Chicago airport. They were asking for extra Money (15$ Usd) for luggage which we checked in for baby. They also asked for our vaccination card which they didn’t even see, they were just trying to check if we have that or not. They were not checking vaccination cards for other passengers though. I was with baby travelled for 16 hours, I was unable to feed my baby in transit.",NA,Family Leisure,Economy Class,Delhi to Nepal,Feb-23,3,3,3,1,1,1,1,no
574,15th February 2023,Never travel with this airline,Trip Verified ,"  I traveled with my 2 kids. The older one is 3-years old and younger one is 1 year old. We have requested a basinet seat and they told us that you should request it at the check-in counter so they can give it to you. When we went to the airport for check-in, we came to know that our flight was 4 hours late and they said basinet seat is not available. Everything was okay for us other than not informing us for flight was late. When we asked them about our next flight connection, they had no answer about it. When we reached Delhi, we came to know that our next flight was the next morning. As I had 2 kids with me i asked them to provide accommodation but they refused to provide any accommodation. It was a horrible experience for us that they are not happy to understand the situation of their customer.  Customer service desk people are hopeless, they are not happy to listen anything as it is our problem that our air India flight was late. Never travel with this airline. They are hopeless.",NA,Family Leisure,Economy Class,Sydney to Ahmedabad via Delhi,Feb-23,2,2,NA,1,1,NA,1,no
575,14th February 2023,delayed for 12 hrs,Not Verified ,  Air India flight is delayed for 12 hrs. No one was responding about the expected time. They simply showing please wait. And the staff was very arrogant and not even responding for customer queries about the delay. Most of the people checked in to airport @ around 6AM and waited till evening 8PM. Flight started after 8PM. Worst behavior from the staff and no one available for most of the time at the air India service help desk for proper information about expected time,NA,Solo Leisure,Economy Class,London Heathrow to Hyderabad,Feb-23,2,3,3,2,1,3,2,no
576,10th February 2023,Very disappointed with the service,Trip Verified ,  Very disappointed with the service. Every time I have travelled with this airline it has never been on time. Always delayed. Ground staff not very helpful.,NA,Couple Leisure,Economy Class,Mumbai to Kochi,Feb-23,3,4,NA,1,2,1,2,no
577,10th February 2023,Disgusting airline,Trip Verified ,"  Denied boarding AI0489 Delhi to Surat Air India removed us from our flight and gave our seats to other people without our consent, the next flight is 24 hours later.  I could have made it on an Indigo flight but they refused to book for me. A pathetic staff was so rude to us yelling at us and said we have to take it or leave it. This airline needs to be held responsible for how unprofessional they are. We were with at least 7 others who were also flying from Srinagar and going to Surat. They were all allowed to get on the flight. We were physically held back. When i asked why they admitted they gave our seats away. Perhaps you can do that if there's a flight in the next few hours maybe. But to assume that we can wait 24 hours for the next flight is completely unacceptable. Did they think we were going to be happy they put us in a hotel that's like a jail cell with no windows. A dump. Disgusting airline and pathetic after service. No responsibility. No accountability. No explanations given.",AI0489,Couple Leisure,Economy Class,Srinagar to Surat via Delhi,Jan-23,1,1,1,1,1,1,1,no
578,9th February 2023,its prices are reasonable,Trip Verified ,"  I chose to fly Air India because of its Star Alliance affiliation and the fact that its prices are reasonable. In general, I was quite pleased with the flight. The business class section on Air India's international flights is getting a bit long in the tooth. The colors of beige and light red make it appear somewhat tatty. I believe it is overdue for an upgrade. The seats are comfortable but do not recline to a flat bed, they just reach an angle that is not all that comfortable for sleeping. I kept sliding downwards and had to constantly adjust my feet.  There is a wide selection of food choices and I enjoyed my choice. The service is good with lots of attention throughout the flight. The entertainment services pale in comparison to other international airlines. Only a few movies are offered. I would not hesitate to fly Air India again.",NA,Business,Business Class,Delhi to Bangkok,Feb-23,4,5,4,1,4,NA,5,yes
579,27th January 2023,wouldn't recommend to anybody,Trip Verified ,"  Terrible experience, incompetent and rude personal, outdated systems, old planes with half of TV on long flights not working. There is no choice at meals you get what you get. Pricier than middle east airlines and yet offer far less service. Just wouldn't recommend to anybody, never flying with them for sure.",NA,Couple Leisure,Economy Class,Pune to Frankfurt via Delhi,Jan-23,2,1,1,1,1,1,1,no
580,26th January 2023,food was very bad and substandard,Trip Verified ,"  The food served was very bad and substandard, and needs improvement. The ground staff was okay but needs improvement. The airline staff was supportive.",NA,Solo Leisure,Economy Class,Kochi to London,Jan-23,3,3,2,2,3,1,3,no
581,24th January 2023,poor services and management,Trip Verified , This is my first flight with Air India and it was very poor services. 1) I order veg food and someone came and said we are short with veg so we can give chicken only 2) It’s a long journey and my screen is not working for the whole flight 3) I press attendant button as I need water but no one came for approx 30 minutes then I went to get some water. 4) The hand rest is also broken it’s totally uncomfortable fight and experience for me. I won’t prefer to travel with Air India in future due to the poor services and management.,NA,Solo Leisure,Economy Class,Birmingham to Delhi,Jan-23,1,1,1,1,1,1,1,no
582,21st January 2023,comfortable seats,Trip Verified ,"  A domestic flight which uses  Boeing 777-300ER . Boarding was smooth, separate for business and economy class. Seats were in 3x3x3 configuration, comfortable seats, good food, courteous cabin crew. IFE wasn’t working, they should look into it. And ticket price was at par any other flight operating same day.",Boeing 777-300,Solo Leisure,Economy Class,Hyderabad to Delhi,Jan-23,4,4,4,1,4,NA,4,yes
583,20th January 2023,will not fly this airline,Trip Verified ,  We are fly to Delhi with family. When we reached airport on time they tell that the flight is late 15 hours. They say come back 12.00 night. Technically our flight morning 10 am. They check in our luggage. After they did not have any voucher where you stay. They did not give any food voucher. We pay our food. Pay for hotel to stay. They did not say apologies or compensation. We call customer service few times and they say we can not do anything. In the future we will not fly this airline.,NA,Family Leisure,Economy Class,Vancouver to Delhi,Dec-22,2,NA,NA,NA,1,NA,1,no
584,20th January 2023,bad quality of food,Trip Verified ,  I have not used Air India for last 30 years due to bad experience that time. This Flight was ok and on time. But Plane condition was very poor but I am writing about bad quality of food offered. Food was just not for human consumption.,NA,Family Leisure,Business Class,Delhi to Dubai,Jan-23,2,3,1,NA,4,NA,2,no
585,19th January 2023,A319 and leg room was better,Trip Verified ,"  Flight experience was not so good due to delays, due to heavy fog. It was A319 and leg room was better than other airlines with same aircraft. It was just an hour flight so no proper breakfast provided, only a sandwich with water, cabin crew were courteous.",A319,Solo Leisure,Economy Class,Bangalore to Hyderabad,Jan-23,4,4,3,NA,3,NA,4,yes
586,19th January 2023,big difference in quality of service,Trip Verified ,"  You charge the same amount for business class flight for AI 380,/381 and AI383. However there is a big difference in the quality of service. On AI383 the seats barely incline, no entertainment system and horrible stale food. While AI381 is a very pleasant experience. Really don't understand. Wide body and narrow body aircraft is not an excuse. Please fix.",A320,Solo Leisure,Business Class,Singapore to Delhi,Jan-23,1,2,1,NA,3,NA,1,no
587,17th January 2023,screens were not working,Trip Verified ,  I travelled with my spouse on 9 January 2023 with my spouse in a 14 hr flight. At first they used are cabin baggage area for first aid that is ok. Secondly 1/4 of their screens were not working. Their food was equally bad.,NA,Couple Leisure,Economy Class,Toronto to Delhi,Jan-23,1,3,1,1,1,1,1,no
588,17th January 2023,Seats were poorly maintained,Trip Verified ,  I travelled to India this month. Seats were poorly maintained in both sectors to and from AI 144 - from EWR to BOM ( Seat No 37 C) AI 191 - from BOM to EWR ( Seat No 39D) Seats : Broken / no USB connectors / no flight entertainment overall very bad experience. Food : For the money paid and for preselected option at the time of booking you are given what is available on flight. Pre selection of menu is just a namesake activity on the website.,NA,Solo Leisure,Economy Class,Newark to Chenna via Mumbai,Jan-23,1,3,1,1,4,1,1,no
589,14th January 2023,worst experience of my life,Not Verified ,"  Travelling by Air India has been the worst experience of my life, utterly disgusting. Change of date of flying on short notice and worst the message wasn't updated and showed the original date of flying, change of route, instead of my non stop flight, the airline changed with stop over. Delay of take off for more than 5 hrs and not even a single refreshment or water served while waiting more than 1 hr seated in aircraft. No updates of time of take off.",NA,Family Leisure,Economy Class,Delhi to Port Blair,Jan-23,1,1,1,1,1,1,2,no
590,13th January 2023,Customer service is very rude,Trip Verified ,  Never take this cheep flight from SFO. This flight is always delayed and you will miss the transit and end up staying longer. I stayed 2 hours inside seated. Customer service is very rude. They will not work with you to change the transit flight.,NA,Solo Leisure,Economy Class,San Francisco to Mumbai,Jan-23,1,1,1,1,1,1,1,no
591,12th January 2023,hygiene on these flights is horrendous,Not Verified ,"  I recently decided to travel with Air India to India and I must say I am severely disappointed and definitely will NOT be booking again with Air India. I flew on the 23rd of Nov 2022 from Heathrow to Delhi and then Delhi to Ahmedabad. My flight to Heathrow to Delhi was disappointing. I paid extra to sit at the front of the plane by the window only to find out that the entertainment system was not working. I told the flight attendant twice. She then said she will reset the system. Although that didn’t work so I told her again and she said there is a spare seat at the back of the plane where I can sit.  How can I get up and leave my seat when I’m blocked in by a sleeping elderly couple.  Why did I pay extra money for a specific seat when air India can’t even check that they flights are adequately maintained. Secondly, hygiene on these flights is horrendous I opened the pocket up to place a bottle of water there and there was still used tissues! There were sticky stains on the side which I wiped off with a baby wipe. I would like to think that airlines would be more regimented in ensuring there planes are cleaned to a certain standard especially after the pandemic we have been through. Funnily enough whilst waiting for my bags to be collected a gentlemen who also flew from London but first class on the first flight was equally as appalled with hygiene and service and stated that he may as well have sat in economy. Now I have just returned from India to Heathrow with my mother again via Air India and what a disappointment again. Flew on 13/11 from Ahmedabad. Our whole row had no entertainment system working despairing multiple reboots. No alternative seating was offered so being stuck on a plane staring at a welcome screen for 9.45 hours . I think you can now understand when I say although my fare covers my travel there is also a level of customer service expected which is just dire. The planes are outdated and customers are just expected to deal with things that are not there fault. Now for the next piece of resistancé. My younger sister is due to fly tomorrow I also funnily enough booked her flight over 2 months ago with Air India. We were completing her online check in only to find out that she had been changed onto to a different flight. Original travel was LHR TO BOM AND THEN BOM TO INDORE with a 4 hour lay over. We had the option to pay a cheaper price but with a 17 hour layover. But opted to pay extra to avoid waiting. So anyways we are checking her in online and her flights completely changed from a 4 hour layover to 11 hours. No emails received about this change. We received multiple about her return being changed. I call up the customer service desk and speak to a guy call Soham. Who was so confusing. I would like to suggest providing more training on effective communication and level of English to your call centre staff. Soham informed me that the original flight had been cancelled. WHY WAS THIS NOT MADE CLEAR IN WRITING. after a good 25 minutes Soham clarified that only option is LHR TO DEL and wait for 11 hours and then DEL to INDORE.  Why is it not being made clear to your customers about upcoming flight changes. If my sister wanted to wait 11 hours at an airport she would have paid less money. This specific fare was paid so that we can avoid waiting. In conclusion I’m sure you can understand my level of frustration of several occasions.",NA,Solo Leisure,Premium Economy,London Heathrow to Ahmedabad,Dec-22,2,1,NA,1,1,NA,1,no
592,11th January 2023,Excellent experience on board,Trip Verified ,  Excellent experience on board. Aircraft seating was very comfortable and staff was friendly and efficient. Special mention of Ms. Sohoni and Ms. Mishra.,Boeing 777-200,Couple Leisure,Business Class,SanFransico to Mumbai,Jan-23,5,5,5,4,3,NA,5,yes
593,10th January 2023,2 day delay in our travel plan,Trip Verified ,"  Was supposed to fly Air India from Mumbai to Melbourne via Delhi with a 2 hour layover yesterday morning. Flight from Mumbai to Delhi was first delayed 3 hours after take off time causing several passengers to miss the connection. Then we were made to leave the gates, collect our baggage and sit around at the airport until they figured out what they wanted to do, giving us no information and no compensation. Finally, about 6-7 hours of no communication later we were told that our flight would leave the next day, and we would have to find our own accommodation in Mumbai. Not only were they completely unapologetic about the situation resulting in a 2 day delay in our travel plan and a crazy 15 hour layover in Delhi, they expected us to find a place to stay overnight on our own and told us they would put us in business class for the trip but put us in economy and asked us to leave. Tried calling the call centre to clear it up and they hung up on me mid sentence, tried to speak to someone online but the bloody website doesn't work. This has essentially ruined what was a pretty good trip up to this point. Never again.",NA,Solo Leisure,Business Class,Mumbai to Melbourne via Delhi,Jan-23,1,1,NA,NA,1,NA,1,no
594,8th January 2023,Air India is disgusting,Trip Verified ,  Air India is disgusting. They removed us from the flight and gave our seats to other people without our consent. They then think they are doing us a favour by booking us in a hotel and on the next flight which is a whole 24 hours later. The hotel is a dump. It's disgusting just like Air India service as a whole. I had a doctors appointment and operation booked and because of them I am stuck in Delhi. I could have made it on the Indigo flight but they refused to book for me. The staff was so rude to us saying take it or leave it. This airline needs to be held responsible for how unprofessional they are.,NA,Couple Leisure,Economy Class,Delhi to Surat,Jan-23,NA,NA,NA,NA,1,NA,1,no
595,8th January 2023,does not reflect well on the new owners,Trip Verified ," This early morning flight was taken at a reasonable rate and as it was almost full economy, I had submitted my baggage and rushed to the gate to get my flight as most airports in India and indeed the world have huge lines of people nowadays. The crew were welcoming and the flight got delayed due to the traffic conditions in Mumbai. One point to note here is that Air India does not provide full meal services on flights that are less than 2 hours. So what we had on this segment was just a vegetarian sandwich which was fine. However the real issue started when it was observed that my baggage was not present upon arrival. After inquiring about the same I was informed that the baggage would be coming as part of the evening flight but there as another morning flight which was present so was not sure why the baggage was unable to get delivered there on that flight. The staff there helped me to file a property irregularity report which helped me locate the bag and also get it delivered to my address in 24 hours without any damage. The last 2 times I traveled on Air India they were not positive experiences. The first one was when I had got a boarding pass for a flight I was unable to travel on as it was overbooked and this time the issue with the baggage. There was another passenger who was in the same situation regarding the lost baggage. This does not reflect well on the new owners. Hope that they can sort these things out on the ground because on the flight the crew were great and we all know about the plans to refurbish the cabins. But these sorts of incidents they really need to get a grip on because this could have the potential to put off passengers. I have already had 2 negative experiences travelling on the airline within the space of 2 months.",A320 neo,Solo Leisure,Economy Class,Mumbai to Bengaluru,Jan-23,4,4,4,NA,3,NA,4,no
596,8th January 2023,check in was chaotic and unorganised,Trip Verified ," This is our national carrier and unfortunately one of the worst and most unprofessional airlines. You’d never come across a staff smiling (ground or air), the crew are aging and consider themselves irreplaceable being in the Govt owned airline. Even now, when it has been taken over, check in was chaotic and unorganised, seats were wobbly, seat covers were like you’d avoid even touching, infotainment screen was broken, schedule was not followed. Sadly, I will pay 50% extra to a different airline but never fly on Air India unless there are no other options available. Pathetic service and they do not deserve any sympathy.",NA,Solo Leisure,Economy Class,Dubai to Kolkata via New Delhi,Jun-22,1,1,1,1,1,NA,1,no
597,6th January 2023,,Trip Verified ,  Excellent food on the Hyderabad to London leg but food on the return leg was just ordinary. Excellent cabin crew. Special mention needs to be made of Ms Padma who was so caring and helpful on both legs of the journey. The entertainment system was not working on either legs. Punctuality was excellent. Toilets were well maintained and the pilots were superb. It was a smooth take off and landing on both legs. I could sleep on both legs comfortably.,Boeing 787-8,Business,Economy Class,London to Hyderabad,Dec-22,3,4,4,1,5,NA,4,yes
598,3rd January 2023,dirty seats and covers,Trip Verified ,"  Food quality poor. Tv screen not working. When requested to the Purser for looking into this, it was a very casual answer. They rebooted but never worked. The answer was cannot do anything. But is it not airline responsibility to ensure all facilities are working. Airplane old, with dirty seats and covers.",Boeing 787,Family Leisure,Economy Class,Delhi to Dubai,Jan-23,3,3,2,1,3,NA,4,no
599,2nd January 2023,Most disgusting service,Trip Verified ,  My bag did not come off the plane. There was no reason given. There has been no updates. There has been no feedback. I am on Day 2 without a bag in a foreign country. They haven't provided any compensation for me not having my medication or clothing. They had time for me to sign an indemnity but they couldn't care less what is happening to me without my bags. Most disgusting service and worst airline ever.,NA,Couple Leisure,Economy Class,Goa to Mumbai,Jan-23,1,1,1,NA,1,NA,1,no
